1,32,55,0.000000000,173.194.42.245,192.168.0.14,123,443,47256
54,20,1460,0.633385000,192.168.0.14,200.172.62.44,1516,54084,80
55,20,558,0.633433000,192.168.0.14,200.172.62.44,614,54084,80
69,20,1460,1.604223000,200.172.62.44,192.168.0.14,1516,80,54084
71,20,1305,1.604376000,200.172.62.44,192.168.0.14,1361,80,54084
73,20,1460,1.604444000,200.172.62.44,192.168.0.14,1516,80,54084
75,20,1460,1.605206000,200.172.62.44,192.168.0.14,1516,80,54084
77,20,1176,1.605282000,200.172.62.44,192.168.0.14,1232,80,54084
79,20,698,1.605315000,200.172.62.44,192.168.0.14,754,80,54084
81,20,1422,1.607644000,200.172.62.44,192.168.0.14,1478,80,54084
83,20,1460,1.607721000,200.172.62.44,192.168.0.14,1516,80,54084
85,20,1460,1.608499000,200.172.62.44,192.168.0.14,1516,80,54084
87,20,1460,1.608543000,200.172.62.44,192.168.0.14,1516,80,54084
89,20,1460,1.645893000,200.172.62.44,192.168.0.14,1516,80,54084
91,20,1460,1.645935000,200.172.62.44,192.168.0.14,1516,80,54084
93,20,1460,1.646374000,200.172.62.44,192.168.0.14,1516,80,54084
95,20,1460,1.646389000,200.172.62.44,192.168.0.14,1516,80,54084
97,20,1460,1.651324000,200.172.62.44,192.168.0.14,1516,80,54084
98,20,1460,1.652487000,200.172.62.44,192.168.0.14,1516,80,54084
100,20,1460,1.652517000,200.172.62.44,192.168.0.14,1516,80,54084
101,20,1460,1.652526000,200.172.62.44,192.168.0.14,1516,80,54084
103,20,1460,1.652534000,200.172.62.44,192.168.0.14,1516,80,54084
105,20,1460,1.652539000,200.172.62.44,192.168.0.14,1516,80,54084
107,20,786,1.655464000,200.172.62.44,192.168.0.14,842,80,54084
109,32,443,1.672470000,192.168.0.14,74.125.228.32,511,38828,80
110,32,446,1.672610000,192.168.0.14,74.125.228.32,514,38831,80
111,20,1460,1.697390000,200.172.62.44,192.168.0.14,1516,80,54084
113,32,434,1.700557000,192.168.0.14,74.125.228.32,502,38829,80
114,32,421,1.700881000,192.168.0.14,74.125.228.32,489,38830,80
117,32,1418,1.821052000,74.125.228.32,192.168.0.14,1486,80,38828
119,32,1418,1.822583000,74.125.228.32,192.168.0.14,1486,80,38828
121,32,1418,1.822673000,74.125.228.32,192.168.0.14,1486,80,38828
123,32,1418,1.822728000,74.125.228.32,192.168.0.14,1486,80,38828
125,32,1418,1.822775000,74.125.228.32,192.168.0.14,1486,80,38828
127,32,1418,1.822816000,74.125.228.32,192.168.0.14,1486,80,38828
129,32,1418,1.822857000,74.125.228.32,192.168.0.14,1486,80,38828
131,32,1418,1.822904000,74.125.228.32,192.168.0.14,1486,80,38828
133,32,1418,1.825252000,74.125.228.32,192.168.0.14,1486,80,38828
135,32,1418,1.825828000,74.125.228.32,192.168.0.14,1486,80,38828
137,32,1418,1.826125000,74.125.228.32,192.168.0.14,1486,80,38831
139,32,1418,1.827497000,74.125.228.32,192.168.0.14,1486,80,38831
141,32,1418,1.829379000,74.125.228.32,192.168.0.14,1486,80,38831
143,32,1418,1.829463000,74.125.228.32,192.168.0.14,1486,80,38831
145,32,1418,1.830559000,74.125.228.32,192.168.0.14,1486,80,38831
147,32,1418,1.833634000,74.125.228.32,192.168.0.14,1486,80,38831
149,32,1418,1.833747000,74.125.228.32,192.168.0.14,1486,80,38831
151,32,1418,1.834178000,74.125.228.32,192.168.0.14,1486,80,38831
153,32,1418,1.835262000,74.125.228.32,192.168.0.14,1486,80,38831
155,32,1418,1.837358000,74.125.228.32,192.168.0.14,1486,80,38831
158,32,1418,1.850501000,74.125.228.32,192.168.0.14,1486,80,38829
160,32,1418,1.850637000,74.125.228.32,192.168.0.14,1486,80,38829
